"Label";"GDP in value (current prices) - Metropolitan France";"Codes"
"idBank";"010751746";""
"Last update";"06/09/2023 13:11";""
"Period";"";""
"2021";"2453532";"P"
"2020";"2265393";"SD"
"2019";"2391587";"A"
"2018";"2318256";"A"
"2017";"2253004";"A"
"2016";"2190789";"A"
"2015";"2156015";"A"
"2014";"2108550";"A"
"2013";"2077071";"A"
"2012";"2049081";"A"
"2011";"2019501";"A"
"2010";"1957884";"A"
"2009";"1899963";"A"
"2008";"1954718";"A"
"2007";"1904414";"A"
"2006";"1812790";"A"
"2005";"1733981";"A"
"2004";"1673982";"A"
"2003";"1602247";"A"
"2002";"1560844";"A"
"2001";"1512627";"A"
